,name,star,rating,platforms,n_ratings,genres,content,img
7,纸境奇缘：文字大冒险 Epistory - Typing Chronicles,45,8.3,PC / Mac / Nintendo Switch / Linux / Stadia,231,游戏 / 冒险 / 动作,"太美了！！！画风好美，台词也很棒，第二章通关的那两句With glacial patience and steely will,she bent the tide to her will, though she would never be the same和Though great wisdom flowed from the springs, they had not been kind to her，真心感动！另外，通过打字来互动，就真的有种道成肉身的感觉，语言就是真实，真实就蕴含在语言之中，对于喜欢语言的人来讲简直太美了！不但死亡没有惩罚，还会降难度，对手残来说太贴心了！！暴露出来的一点就是英文拼写还是不行，打虫巢还是拼音快得多……",https://img3.doubanio.com/lpic/s29470180.jpg
8,黑暗寓言3：冰雪女王的崛起 Dark Parables: Rise of the Snow Queen,45,8.3,PC,161,游戏 / 冒险,黑暗寓言系列游戏是解谜游戏里坚持到现在的，画面做的太好了,https://img9.doubanio.com/lpic/s29508865.jpg
9,深海迷航:零度之下 Subnautica: Below Zero,45,8.3,PC / Mac / PS4 / Xbox One / Nintendo Switch / PS5 / XSX,190,游戏 / 模拟 / 冒险,画质比前作有提升，太喜欢海洋深处的神秘感了，什么时候按照这个风格出个太空迷航😂😂,https://img2.doubanio.com/lpic/s33883113.jpg
10,秋之回忆4 从今以后again Memories Off それから again,45,8.3,PC / PS2 / PSP,145,游戏 / 冒险,陵祈党一本满足 最后那个没发生的车祸真的算是AS的点睛之笔,https://img1.doubanio.com/lpic/s29890218.jpg
11,回溯依存,45,8.3,PC,196,游戏 / 文字冒险 / 益智 / 冒险,爱是渴求每分每秒的贴近，希望她眼中只有自己，救她于苦痛之中，又终究希望她看到除自己以外的世界，看到人生的意义。然而心底总有那么一个部分是自私的，自私到最后连自己是谁都忘却了，只剩下想守护对方的意识，和对方融为一体。伊吹兰眼中的世界，如结局那片浩瀚的群星，如此玄秘壮阔；又如初遇时的天台，眼里只有彼此，她们的灵魂好像从未离开过那里，从未离开过那个瞬间。相恋的人被雨淋湿了。,https://img9.doubanio.com/lpic/s33981094.jpg
12,无名小卒拯救世界 Nobody Saves the World,45,8.3,PC / PS4 / Xbox One / Nintendo Switch / PS5 / XSX,257,游戏 / 角色扮演 / 冒险,从gameplay到人物塑造，从数值设计到情感体验，这款游戏完全超过了我的预期，平衡、精美、而又游刃有余的一款绝佳作品，堪称用支点翘地球的范本。最终boss战前后的剧情和游戏设计虽然略显老套，但效果绝赞。ps：兰迪，你值得这把魔杖。,https://img3.doubanio.com/lpic/s34118700.jpg
13,黑镜2 Black Mirror II: Reigning Evil,45,8.3,PC,41,游戏 / 冒险,当年参与汉化，圣城和chinaavg的合作。现在圣城变得一言难尽，cnavg也更新换代好几批人了。一晃这么多年过去了呀。,https://img2.doubanio.com/lpic/s24593563.jpg
14,魔天童子 魔天童子まてんどうじ/Conquest of the Crystal Palace,45,8.2,FC/NES/红白机,18,游戏 / 横版过关 / 冒险 / 动作,FC的ACT神作之一，刀光无比爽快,https://img1.doubanio.com/lpic/s29895819.jpg
15,孤独回声 Lone Echo,45,8.3,PC,14,游戏 / 冒险,太空漂浮的操作挺好，不晕，画面表现以及几个大场面的驾驭就凭 Ready at Dawn 的实力是完全没问题，两个核心角色个性鲜明，甚至还闻到了恋爱的酸臭味，很期待今年的续作。不过从故事和世界观上来看，这初代就是个超大号预告片吧，刚要开始讲正事儿就没了，有愧于“史上最佳VR游戏的称号”。,https://img9.doubanio.com/lpic/s29515795.jpg
16,旗帜传说2 The Banner Saga 2,45,8.3,PC / Mac / iPhone / iPad / Android / PS4 / Xbox One / Nintendo Switch,139,游戏 / 角色扮演 / 冒险 / 策略,Stoic工作室，Bioware退下来的老员工。ARNIE JORGENSEN，星战系列首席概念设计师。Program只有一人，JOHN WATSON，NASA员工，6岁开始编程。最有意思的是DREW MCGEE，编剧，旅行家，周游全球，没事儿写点儿童文学啥的。三人成虎。,https://img9.doubanio.com/lpic/s33603486.jpg
